,main_title,title,variable,value
106,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1998,0
107,12．予　　備　　費,12．予　　備　　費,1998,0
108,13．そ　　の　　他,13．そ　　の　　他,1998,560720538
109,３．防 衛 関 係 費,３．防 衛 関 係 費,1998,4982414986
110,９．国　　債　　費,９．国　　債　　費,1998,17698532948
111,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1998,0
112,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1998,0
113,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1998,0
114,12．予　　備　　費,12．予　　備　　費,1998,0
115,13．そ　　の　　他,13．そ　　の　　他,1998,560720538
116,１．国 家 機 関 費,皇室費,1999,6832632
117,１．国 家 機 関 費,国会費,1999,138585747
118,１．国 家 機 関 費,選挙費,1999,3258220
119,１．国 家 機 関 費,司法、警察及び消防費,1999,1408610493
120,１．国 家 機 関 費,外交費,1999,888920739
121,１．国 家 機 関 費,一般行政費,1999,1055053630
122,１．国 家 機 関 費,徴税費,1999,772413149
123,１．国 家 機 関 費,貨幣製造費,1999,0
124,２．地 方 財 政 費,地方財政調整費,1999,13084335000
125,２．地 方 財 政 費,元利補給,1999,2442715
126,２．地 方 財 政 費,その他,1999,18234008
127,４．国土保全及び開発費,国土保全費,1999,2007032641
128,４．国土保全及び開発費,国土開発費,1999,8047536209
129,４．国土保全及び開発費,災害対策費,1999,692223621
130,４．国土保全及び開発費,試験研究費,1999,30958173
131,４．国土保全及び開発費,その他,1999,306218443
132,５．産 業 経 済 費,農林水産業費,1999,1221337316
133,５．産 業 経 済 費,商工鉱業費,1999,1853123935
134,５．産 業 経 済 費,運輸通信費,1999,301480898
135,５．産 業 経 済 費,産業投資特別会計へ繰入,1999,222877952
136,５．産 業 経 済 費,物資及び物価調整費,1999,412706933
137,６．教 育 文 化 費,学校教育費,1999,5638045240
138,６．教 育 文 化 費,社会教育及び文化費,1999,155497370
139,６．教 育 文 化 費,科学振興費,1999,879033323
140,６．教 育 文 化 費,災害対策費,1999,2155883
141,７．社会保障関係費,社会保険費,1999,10862332795
142,７．社会保障関係費,生活保護費,1999,1397921379
143,７．社会保障関係費,社会福祉費,1999,5956772531
144,７．社会保障関係費,住宅対策費,1999,1549380992
145,７．社会保障関係費,失業対策費,1999,344524832
146,７．社会保障関係費,保健衛生費,1999,1026914018
147,７．社会保障関係費,試験研究費,1999,77724981
148,７．社会保障関係費,災害対策費,1999,10346465
149,７．社会保障関係費,その他,1999,37142330
150,８．恩　　給　　費,文官恩給費,1999,65927556
151,８．恩　　給　　費,旧軍人遺族等恩給費,1999,1320679417
152,８．恩　　給　　費,その他,1999,97470650
153,３．防 衛 関 係 費,３．防 衛 関 係 費,1999,4923268867
154,９．国　　債　　費,９．国　　債　　費,1999,20271924397
155,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1999,0
156,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1999,0
157,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1999,0
158,12．予　　備　　費,12．予　　備　　費,1999,0
159,13．そ　　の　　他,13．そ　　の　　他,1999,1946185898
160,３．防 衛 関 係 費,３．防 衛 関 係 費,1999,4923268867
161,９．国　　債　　費,９．国　　債　　費,1999,20271924397
162,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1999,0
163,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1999,0
164,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1999,0
165,12．予　　備　　費,12．予　　備　　費,1999,0
166,13．そ　　の　　他,13．そ　　の　　他,1999,1946185898
167,３．防 衛 関 係 費,３．防 衛 関 係 費,1999,4923268867
168,９．国　　債　　費,９．国　　債　　費,1999,20271924397
169,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1999,0
170,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1999,0
171,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1999,0
172,12．予　　備　　費,12．予　　備　　費,1999,0
173,13．そ　　の　　他,13．そ　　の　　他,1999,1946185898
174,１．国 家 機 関 費,皇室費,2000,9366209
175,１．国 家 機 関 費,国会費,2000,146463865
176,１．国 家 機 関 費,選挙費,2000,73263020
177,１．国 家 機 関 費,司法、警察及び消防費,2000,1453162305
178,１．国 家 機 関 費,外交費,2000,865866900
179,１．国 家 機 関 費,一般行政費,2000,1471169953
180,１．国 家 機 関 費,徴税費,2000,783476331
181,１．国 家 機 関 費,貨幣製造費,2000,0
182,２．地 方 財 政 費,地方財政調整費,2000,15828908673
183,２．地 方 財 政 費,元利補給,2000,1616353
184,２．地 方 財 政 費,その他,2000,18936408
185,４．国土保全及び開発費,国土保全費,2000,1905879142
186,４．国土保全及び開発費,国土開発費,2000,7634224452
187,４．国土保全及び開発費,災害対策費,2000,545045814
188,４．国土保全及び開発費,試験研究費,2000,38933772
189,４．国土保全及び開発費,その他,2000,111993598
190,５．産 業 経 済 費,農林水産業費,2000,1221359331
191,５．産 業 経 済 費,商工鉱業費,2000,1981159488
192,５．産 業 経 済 費,運輸通信費,2000,334461890
193,５．産 業 経 済 費,産業投資特別会計へ繰入,2000,158560249
194,５．産 業 経 済 費,物資及び物価調整費,2000,416140838
195,６．教 育 文 化 費,学校教育費,2000,5612665712
196,６．教 育 文 化 費,社会教育及び文化費,2000,190153526
197,６．教 育 文 化 費,科学振興費,2000,925335049
198,６．教 育 文 化 費,災害対策費,2000,1699897
199,７．社会保障関係費,社会保険費,2000,11380261712
200,７．社会保障関係費,生活保護費,2000,1483656288
201,７．社会保障関係費,社会福祉費,2000,4118305895
202,７．社会保障関係費,住宅対策費,2000,1338465634
203,７．社会保障関係費,失業対策費,2000,96482292
204,７．社会保障関係費,保健衛生費,2000,1030477020
205,７．社会保障関係費,試験研究費,2000,82628142
206,７．社会保障関係費,災害対策費,2000,7220686
207,７．社会保障関係費,その他,2000,141040189
208,８．恩　　給　　費,文官恩給費,2000,60724661
209,８．恩　　給　　費,旧軍人遺族等恩給費,2000,1267923769
210,８．恩　　給　　費,その他,2000,88735026
211,３．防 衛 関 係 費,３．防 衛 関 係 費,2000,4931354728
212,９．国　　債　　費,９．国　　債　　費,2000,21446082307
213,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2000,0
214,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2000,0
215,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2000,0
216,12．予　　備　　費,12．予　　備　　費,2000,0
217,13．そ　　の　　他,13．そ　　の　　他,2000,117848770
218,３．防 衛 関 係 費,３．防 衛 関 係 費,2000,4931354728
219,９．国　　債　　費,９．国　　債　　費,2000,21446082307
220,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2000,0
221,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2000,0
222,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2000,0
223,12．予　　備　　費,12．予　　備　　費,2000,0
224,13．そ　　の　　他,13．そ　　の　　他,2000,117848770
225,３．防 衛 関 係 費,３．防 衛 関 係 費,2000,4931354728
226,９．国　　債　　費,９．国　　債　　費,2000,21446082307
227,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2000,0
